Brand_ID,Country,Year,Sustainability_Rating,Material_Type,Eco_Friendly_Manufacturing,Carbon_Footprint_MT,Water_Usage_Liters,Waste_Production_KG,Recycling_Programs,Product_Lines,Average_Price_USD,Market_Trend,Certifications,Z_Carbon_Footprint,Z_Water_Usage,Z_Waste_Production
BRAND-0001,Australia,2018,D,Tencel,0,1.75,4511152.79,97844.11,0,2,38.33,Growing,GOTS,"-17,408,146,183,127,600","13,949,827,020,173,500","16,607,857,579,612,000"
BRAND-0002,Japan,2015,D,Vegan Leather,1,124.39,1951566.31,37267.75,0,15,250.07,Growing,GOTS,-0.8819193007627583,-0.39631560647125935,-0.4466940775830892
BRAND-0003,USA,2024,A,Vegan Leather,0,336.66,467454.52,38385.92,0,2,146.16,Growing,B Corp,0.6046895467286024,"-14,349,548,397,254,500",-0.4077924214302507
BRAND-0004,Italy,2023,D,Bamboo Fabric,0,152.04,899576.9,32665.45,0,13,165.52,Stable,OEKO-TEX,-0.6882756646712893,"-11,325,387,680,660,700",-0.6068102424884336
BRAND-0005,USA,2016,D,Bamboo Fabric,1,415.63,1809219.9,37295.47,1,19,211.63,Stable,Fair Trade,"1,157,746,976,824,200",-0.49593516824220113,-0.4457296858460933
BRAND-0006,Italy,2017,B,Recycled Pol1ter,0,447.65,2244115.38,69017.63,1,10,196.45,Stable,B Corp,"1,381,995,411,820,540",-0.1915783731971886,0.6578990653682389
BRAND-0007,Australia,2015,A,Hemp,1,345.64,1020265.49,18373.35,0,17,376.14,Stable,GOTS,0.6675799572928478,"-10,480,761,922,515,300","-11,040,390,716,485,600"
BRAND-0008,Brazil,2022,C,Tencel,0,336.7,3847649.16,28717.69,0,18,59.34,Declining,OEKO-TEX,0.6049696821876857,0.930637019860505,-0.7441546553182629
BRAND-0009,France,2018,D,Recycled Pol1ter,1,386.68,1494891.28,45916.88,1,11,91.12,Declining,GOTS,0.9549989383125184,-0.7159145788677648,-0.14578680831168986
BRAND-0010,India,2011,A,Bamboo Fabric,0,250.94,3892548.66,58636.15,0,9,426.55,Stable,0ne,0.00435925791266301,0.9620594386888716,0.29672253110460217
BRAND-0011,Italy,2012,B,Organic Cotton,1,417.76,3489944.51,50610.02,1,1,214.88,Stable,Fair Trade,"11,726,641,900,203,900",0.6803013740480949,0.017489722588918115
BRAND-0012,UK,2015,C,Hemp,0,122.81,2563102.3,44827.29,1,10,436.95,Stable,0ne,-0.8929846513965565,0.03166109719804243,-0.1836941529261682
BRAND-0013,Japan,2024,A,Hemp,0,413.27,3162662.08,2507.82,0,20,437.23,Stable,0ne,"11,412,189,847,382,700",0.4512563826645478,"-16,560,082,648,325,500"
BRAND-0014,USA,2022,B,Tencel,1,164.83,4380926.36,39252.99,1,5,474.4,Declining,GOTS,-0.5987023516293403,"1,303,845,174,294,710",-0.37762665146643326
BRAND-0015,Germany,2017,D,Bamboo Fabric,0,215.43,4210420.72,88315.18,1,8,290.5,Growing,OEKO-TEX,-0.24433099588871351,"11,845,186,866,349,600","1,329,269,836,084,860"
BRAND-0016,China,2013,C,Recycled Pol1ter,1,227.94,1040405.39,98864.61,0,13,24.95,Stable,GOTS,-0.15671863106034914,"-10,339,815,058,304,900","16,962,894,292,312,000"
BRAND-0017,Germany,2011,A,Bamboo Fabric,1,45.07,4448039.39,34738.56,1,9,148.35,Growing,0ne,"-14,374,279,161,253,300","13,508,134,865,810,500",-0.5346857780626209
BRAND-0018,Japan,2022,D,Recycled Pol1ter,0,335.15,1068529.66,20532.15,0,11,48.83,Stable,GOTS,0.5941144331482,"-10,142,990,463,112,900","-1,028,933,412,131,000"
BRAND-0019,China,2012,B,Bamboo Fabric,0,173.93,434142.38,46905.65,0,3,182.45,Declining,GOTS,-0.5349715346878442,"-14,582,679,727,258,000",-0.1113870385501667
BRAND-0020,Australia,2018,C,Hemp,1,437.75,2345334.52,96370.47,0,16,134.28,Growing,0ne,"13,126,618,856,973,700",-0.12074127678125789,"16,095,171,346,095,900"
BRAND-0021,Australia,2012,B,Vegan Leather,0,489.19,1549017.38,17075.64,1,15,482.32,Growing,GOTS,"16,729,160,860,787,500",-0.6780350260053487,"-11,491,870,081,931,800"
BRAND-0022,Brazil,2012,D,Vegan Leather,1,375.74,3398780.12,75519.58,1,17,176.31,Declining,B Corp,0.8783818902531813,0.61650098329068,0.8841049403451644
BRAND-0023,India,2020,D,Organic Cotton,1,323.83,1166563.37,66186.01,0,17,233.59,Stable,0ne,0.5148360982275697,-0.9456912378742628,0.5593856840438418
BRAND-0024,China,2020,B,Recycled Pol1ter,1,240.91,4088887.9,53391.1,1,19,456.74,Stable,GOTS,-0.06588470845252448,"10,994,652,857,856,800",0.11424479372616592
BRAND-0025,Brazil,2020,D,Recycled Pol1ter,0,411.26,3981108.89,98686.02,1,10,327.07,Growing,B Corp,"11,271,421,779,193,200","10,240,373,368,524,600","16,900,761,997,827,800"
BRAND-0026,China,2018,C,Organic Cotton,0,234.31,2678432.31,40469.98,0,12,482.21,Growing,GOTS,-0.11210705920130183,0.11237353002468234,-0.33528700139404427
BRAND-0027,Brazil,2020,C,Vegan Leather,1,181.28,1471160.32,8540.04,1,12,105.88,Declining,OEKO-TEX,-0.4834966440812512,-0.7325224289400197,"-14,461,445,157,798,400"
BRAND-0028,Brazil,2017,D,Organic Cotton,1,72.78,4564734.97,68343.61,0,19,433.18,Declining,OEKO-TEX,"-12,433,640,768,452,400","14,324,815,984,793,800",0.634449595001357
BRAND-0029,Japan,2021,C,Tencel,0,60.14,404782.57,11022.95,0,13,98.05,Growing,B Corp,"-1,331,886,881,915,620","-1,478,815,111,258,330","-13,597,629,180,993,000"
BRAND-0030,France,2014,B,Hemp,0,184.09,2206445.72,13839.54,1,16,64.22,Declining,GOTS,-0.46381712808063535,-0.21794106840854194,"-1,261,772,437,489,440"
BRAND-0031,USA,2015,C,Hemp,1,189.84,3274778.79,71921.1,1,15,167.04,Stable,0ne,-0.4235476558373823,0.5297200230008214,0.7589121417252171
BRAND-0032,Italy,2016,A,Bamboo Fabric,1,157.86,1103107.94,23052.1,1,1,20.72,Declining,B Corp,-0.64751595537464,-0.990099819225817,-0.9412631755638076
BRAND-0033,USA,2010,D,Tencel,1,148.28,3912838.88,57197.09,0,3,470.32,Declining,OEKO-TEX,-0.7146083978251382,0.9762593249005153,0.24665696209156834
BRAND-0034,UK,2020,D,Vegan Leather,1,356.24,2261695.47,78206.66,0,13,203.24,Declining,Fair Trade,0.7418158539499753,-0.17927514151264,0.9775897076123684
BRAND-0035,France,2021,B,Recycled Pol1ter,1,292.76,1978759.25,33864.19,1,1,459.71,Growing,Fair Trade,0.2972408803844616,-0.3772849279591458,-0.5651055184333671
BRAND-0036,Brazil,2016,A,Vegan Leather,0,485.95,1745500.04,84480.28,0,14,127.04,Declining,GOTS,"16,502,251,138,929,900",-0.5405288080066725,"11,958,518,753,270,900"
